transaction_id,user_id,transaction_date,amount
TX-10001,USR-0001,2025-06-14,299
TX-10002,USR-0001,2025-07-14,299
TX-10003,USR-0001,2025-08-14,299
TX-10004,USR-0001,2025-09-13,299
TX-10005,USR-0001,2025-10-14,299
TX-10006,USR-0002,2025-09-21,299
TX-10007,USR-0002,2025-10-21,299
TX-10008,USR-0002,2025-11-21,299
TX-10009,USR-0003,2025-01-28,99
TX-10010,USR-0003,2025-02-27,99
TX-10011,USR-0003,2025-03-30,99
TX-10012,USR-0003,2025-04-29,99
TX-10013,USR-0003,2025-05-30,99
TX-10014,USR-0003,2025-06-29,99
TX-10015,USR-0003,2025-07-30,99
TX-10016,USR-0003,2025-08-29,99
TX-10017,USR-0003,2025-09-29,99
TX-10018,USR-0003,2025-10-29,99
TX-10019,USR-0004,2025-04-23,999
TX-10020,USR-0004,2025-05-23,999
TX-10021,USR-0004,2025-06-23,999
TX-10022,USR-0004,2025-07-23,999
TX-10023,USR-0004,2025-08-23,999
TX-10024,USR-0004,2025-09-22,999
TX-10025,USR-0005,2025-08-24,99
TX-10026,USR-0005,2025-09-23,99
TX-10027,USR-0005,2025-10-24,99
TX-10028,USR-0005,2025-11-23,99
TX-10029,USR-0005,2025-12-24,99
TX-10030,USR-0006,2025-07-14,99
TX-10031,USR-0006,2025-08-13,99
TX-10032,USR-0006,2025-09-13,99
TX-10033,USR-0007,2025-07-21,99
TX-10034,USR-0007,2025-08-20,99
TX-10035,USR-0008,2025-09-29,99
TX-10036,USR-0009,2025-10-12,99
TX-10037,USR-0009,2025-11-11,99
TX-10038,USR-0009,2025-12-12,99
TX-10039,USR-0010,2025-05-16,299
TX-10040,USR-0010,2025-06-15,299
TX-10041,USR-0010,2025-07-16,299
TX-10042,USR-0011,2025-09-10,99
TX-10043,USR-0012,2025-02-06,99
TX-10044,USR-0012,2025-03-08,99
TX-10045,USR-0012,2025-04-08,99
TX-10046,USR-0012,2025-05-08,99
TX-10047,USR-0012,2025-06-08,99
TX-10048,USR-0013,2025-10-24,99
TX-10049,USR-0013,2025-11-23,99
TX-10050,USR-0013,2025-12-24,99
TX-10051,USR-0014,2025-11-04,99
TX-10052,USR-0014,2025-12-04,99
TX-10053,USR-0015,2025-06-23,299
TX-10054,USR-0015,2025-07-23,299
TX-10055,USR-0015,2025-08-23,299
TX-10056,USR-0015,2025-09-22,299
TX-10057,USR-0015,2025-10-23,299
TX-10058,USR-0016,2025-11-01,99
TX-10059,USR-0016,2025-12-01,99
TX-10060,USR-0017,2025-07-08,299
TX-10061,USR-0017,2025-08-07,299
TX-10062,USR-0017,2025-09-07,299
TX-10063,USR-0017,2025-10-07,299
TX-10064,USR-0018,2025-07-03,999
TX-10065,USR-0018,2025-08-02,999
TX-10066,USR-0018,2025-09-02,999
TX-10067,USR-0018,2025-10-02,999
TX-10068,USR-0018,2025-11-02,999
TX-10069,USR-0018,2025-12-02,999
TX-10070,USR-0019,2025-05-22,299
TX-10071,USR-0019,2025-06-21,299
TX-10072,USR-0019,2025-07-22,299
TX-10073,USR-0019,2025-08-21,299
TX-10074,USR-0019,2025-09-21,299
TX-10075,USR-0019,2025-10-21,299
TX-10076,USR-0019,2025-11-21,299
TX-10077,USR-0020,2025-05-23,299
TX-10078,USR-0020,2025-06-22,299
TX-10079,USR-0020,2025-07-23,299
TX-10080,USR-0020,2025-08-22,299
TX-10081,USR-0020,2025-09-22,299
TX-10082,USR-0021,2025-11-03,99
TX-10083,USR-0021,2025-12-03,99
TX-10084,USR-0022,2025-06-30,99
TX-10085,USR-0022,2025-07-30,99
TX-10086,USR-0023,2025-05-24,299
TX-10087,USR-0023,2025-06-23,299
TX-10088,USR-0024,2025-12-03,99
TX-10089,USR-0025,2025-05-17,999
TX-10090,USR-0025,2025-06-16,999
TX-10091,USR-0026,2025-06-22,99
TX-10092,USR-0027,2025-04-02,99
TX-10093,USR-0027,2025-05-02,99
TX-10094,USR-0027,2025-06-02,99
TX-10095,USR-0027,2025-07-02,99
TX-10096,USR-0027,2025-08-02,99
TX-10097,USR-0027,2025-09-01,99
TX-10098,USR-0027,2025-10-02,99
TX-10099,USR-0028,2025-07-01,299
TX-10100,USR-0028,2025-07-31,299
TX-10101,USR-0028,2025-08-31,299
TX-10102,USR-0029,2025-05-06,299
TX-10103,USR-0029,2025-06-05,299
TX-10104,USR-0029,2025-07-06,299
TX-10105,USR-0029,2025-08-05,299
TX-10106,USR-0029,2025-09-05,299
TX-10107,USR-0030,2025-06-06,99
TX-10108,USR-0030,2025-07-06,99
TX-10109,USR-0030,2025-08-06,99
TX-10110,USR-0031,2025-03-29,299
TX-10111,USR-0031,2025-04-28,299
TX-10112,USR-0031,2025-05-29,299
TX-10113,USR-0031,2025-06-28,299
TX-10114,USR-0031,2025-07-29,299
TX-10115,USR-0031,2025-08-28,299
TX-10116,USR-0032,2025-08-15,99
TX-10117,USR-0032,2025-09-14,99
TX-10118,USR-0033,2025-12-23,99
TX-10119,USR-0034,2025-05-19,299
TX-10120,USR-0035,2025-11-20,299
TX-10121,USR-0035,2025-12-20,299
TX-10122,USR-0036,2025-11-30,299
TX-10123,USR-0037,2025-08-31,99
TX-10124,USR-0038,2025-12-14,99
TX-10125,USR-0039,2025-08-20,99
TX-10126,USR-0040,2025-03-05,99
TX-10127,USR-0040,2025-04-04,99
TX-10128,USR-0040,2025-05-05,99
TX-10129,USR-0040,2025-06-04,99
TX-10130,USR-0041,2025-08-29,99
TX-10131,USR-0041,2025-09-28,99
TX-10132,USR-0041,2025-10-29,99
TX-10133,USR-0041,2025-11-28,99
TX-10134,USR-0042,2025-08-04,99
TX-10135,USR-0043,2025-08-30,99
TX-10136,USR-0043,2025-09-29,99
TX-10137,USR-0043,2025-10-30,99
TX-10138,USR-0044,2025-04-16,99
TX-10139,USR-0044,2025-05-16,99
TX-10140,USR-0044,2025-06-16,99
TX-10141,USR-0044,2025-07-16,99
TX-10142,USR-0045,2025-12-17,299
TX-10143,USR-0046,2025-10-02,999
TX-10144,USR-0046,2025-11-01,999
TX-10145,USR-0047,2025-11-27,99
TX-10146,USR-0048,2025-05-23,99
