user_id,signup_date,segment
USR-0001,2025-06-14,Growth
USR-0002,2025-09-21,Growth
USR-0003,2025-01-28,Startup
USR-0004,2025-04-23,Enterprise
USR-0005,2025-08-24,Startup
USR-0006,2025-07-14,Startup
USR-0007,2025-07-21,Startup
USR-0008,2025-09-29,Startup
USR-0009,2025-10-12,Startup
USR-0010,2025-05-16,Growth
USR-0011,2025-09-10,Startup
USR-0012,2025-02-06,Startup
USR-0013,2025-10-24,Startup
USR-0014,2025-11-04,Startup
USR-0015,2025-06-23,Growth
USR-0016,2025-11-01,Startup
USR-0017,2025-07-08,Growth
USR-0018,2025-07-03,Enterprise
USR-0019,2025-05-22,Growth
USR-0020,2025-05-23,Growth
USR-0021,2025-11-03,Startup
USR-0022,2025-06-30,Startup
USR-0023,2025-05-24,Growth
USR-0024,2025-12-03,Startup
USR-0025,2025-05-17,Enterprise
USR-0026,2025-06-22,Startup
USR-0027,2025-04-02,Startup
USR-0028,2025-07-01,Growth
USR-0029,2025-05-06,Growth
USR-0030,2025-06-06,Startup
USR-0031,2025-03-29,Growth
USR-0032,2025-08-15,Startup
USR-0033,2025-12-23,Startup
USR-0034,2025-05-19,Growth
USR-0035,2025-11-20,Growth
USR-0036,2025-11-30,Growth
USR-0037,2025-08-31,Startup
USR-0038,2025-12-14,Startup
USR-0039,2025-08-20,Startup
USR-0040,2025-03-05,Startup
USR-0041,2025-08-29,Startup
USR-0042,2025-08-04,Startup
USR-0043,2025-08-30,Startup
USR-0044,2025-04-16,Startup
USR-0045,2025-12-17,Growth
USR-0046,2025-10-02,Enterprise
USR-0047,2025-11-27,Startup
USR-0048,2025-05-23,Startup
USR-0049,2025-12-10,Startup
USR-0050,2025-09-19,Startup
USR-0051,2025-11-05,Growth
USR-0052,2025-05-23,Startup
USR-0053,2025-06-13,Growth
USR-0054,2025-08-20,Startup
USR-0055,2025-06-27,Startup
USR-0056,2025-05-12,Growth
USR-0057,2025-12-24,Growth
USR-0058,2025-01-24,Startup
USR-0059,2025-11-05,Growth
USR-0060,2025-12-11,Startup
USR-0061,2025-08-14,Startup
USR-0062,2025-09-04,Growth
USR-0063,2025-08-17,Growth
USR-0064,2025-11-16,Startup
USR-0065,2025-10-18,Startup
USR-0066,2025-06-09,Enterprise
USR-0067,2025-07-23,Growth
USR-0068,2025-12-20,Growth
USR-0069,2025-07-30,Startup
USR-0070,2025-05-31,Growth
USR-0071,2025-05-26,Startup
USR-0072,2025-01-02,Startup
USR-0073,2025-01-25,Growth
USR-0074,2025-12-12,Startup
USR-0075,2025-04-24,Growth
USR-0076,2025-06-12,Growth
USR-0077,2025-02-06,Enterprise
USR-0078,2025-10-04,Startup
USR-0079,2025-08-03,Growth
USR-0080,2025-09-23,Growth
USR-0081,2025-02-17,Growth
USR-0082,2025-11-13,Enterprise
USR-0083,2025-10-03,Growth
USR-0084,2025-10-07,Enterprise
USR-0085,2025-01-28,Startup
USR-0086,2025-11-03,Growth
USR-0087,2025-12-24,Startup
USR-0088,2025-11-02,Startup
USR-0089,2025-12-09,Startup
USR-0090,2025-11-18,Enterprise
USR-0091,2025-04-19,Enterprise
USR-0092,2025-01-12,Enterprise
USR-0093,2025-07-16,Startup
USR-0094,2025-12-15,Growth
USR-0095,2025-08-30,Startup
USR-0096,2025-08-03,Startup
USR-0097,2025-12-13,Startup
